category,price,quantity,payment_method,device_type,channel,order_year,order_month,order_day,order_dayofweek,order_hour,shipping_year,shipping_month,shipping_day,shipping_time,cluster
Books,45.95,4,PayPal,Mobile,Paid Search,2024,4,20,5,14,2024,4,27,7,1
Electronics,403.17,3,PayPal,Mobile,Paid Search,2024,4,20,5,14,2024,4,22,2,1
Beauty,317.45,2,Credit Card,Mobile,Email,2024,4,20,5,14,2024,4,27,7,1
Home,24.08,3,PayPal,Tablet,Social,2024,4,20,5,14,2024,4,24,4,1
Clothing,494.9,1,PayPal,Tablet,Organic,2024,4,20,5,14,2024,4,25,5,1
Electronics,342.0,1,PayPal,Desktop,Organic,2024,4,20,5,14,2024,4,25,5,1
Books,281.92,3,Debit Card,Tablet,Email,2024,4,20,5,14,2024,4,23,3,1
Home,195.5,1,Apple Pay,Mobile,Social,2024,4,20,5,14,2024,4,26,6,1
Home,445.83,1,Google Pay,Mobile,Email,2024,4,20,5,14,2024,4,21,1,1
Toys,317.72,2,Apple Pay,Desktop,Email,2024,4,20,5,14,2024,4,25,5,1
Beauty,480.1,1,Apple Pay,Mobile,Organic,2024,4,20,5,14,2024,4,26,6,1
Toys,64.06,1,Credit Card,Tablet,Social,2024,4,20,5,14,2024,4,21,1,1
Home,66.44,1,Credit Card,Desktop,Organic,2024,4,20,5,14,2024,4,21,1,1
Electronics,362.51,2,Credit Card,Mobile,Paid Search,2024,4,20,5,14,2024,4,23,3,1
Toys,182.64,2,Credit Card,Mobile,Paid Search,2024,4,20,5,14,2024,4,25,5,1
Books,373.68,2,PayPal,Desktop,Social,2024,4,20,5,14,2024,4,25,5,1
Books,128.86,1,Credit Card,Desktop,Email,2024,4,20,5,14,2024,4,25,5,1
Beauty,102.07,1,Debit Card,Mobile,Email,2024,4,20,5,14,2024,4,21,1,1
Beauty,39.39,3,PayPal,Mobile,Organic,2024,4,20,5,14,2024,4,25,5,1
Beauty,128.22,3,PayPal,Mobile,Social,2024,4,20,5,14,2024,4,22,2,1
Toys,466.85,1,PayPal,Desktop,Social,2024,4,20,5,14,2024,4,24,4,1
Books,480.29,2,Credit Card,Desktop,Paid Search,2024,4,20,5,14,2024,4,24,4,1
Beauty,73.14,1,Google Pay,Mobile,Organic,2024,4,20,5,14,2024,4,25,5,1
Clothing,166.13,2,Google Pay,Desktop,Social,2024,4,20,5,14,2024,4,26,6,1
Home,21.68,2,Apple Pay,Mobile,Organic,2024,4,20,5,14,2024,4,25,5,1
Home,43.27,1,Google Pay,Tablet,Organic,2024,4,20,5,14,2024,4,27,7,1
Beauty,27.96,3,Credit Card,Tablet,Paid Search,2024,4,20,5,14,2024,4,26,6,1
Electronics,49.22,2,Apple Pay,Mobile,Organic,2024,4,20,5,14,2024,4,22,2,1
Electronics,69.72,4,Apple Pay,Tablet,Paid Search,2024,4,20,5,14,2024,4,22,2,1
